Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,TotalIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,No,0,Graduate,No,5849,0,5849,,360,1,Urban,Y
LP000002,Male,Yes,1,Graduate,No,4583,1508,6091,128,360,1,Rural,N
LP000003,Male,Yes,0,Graduate,Yes,3000,0,3000,66,360,1,Urban,Y
LP000004,Male,Yes,0,Not Graduate,No,2583,2358,4941,120,360,1,Urban,Y
LP000005,Male,No,0,Graduate,No,6000,0,6000,141,360,1,Urban,Y
LP000006,Male,Yes,2,Graduate,Yes,5417,4196,9613,267,360,1,Urban,Y
LP000007,Male,Yes,0,Not Graduate,No,2333,1516,3849,95,360,1,Urban,Y
LP000008,Male,Yes,3,Graduate,No,3036,2504,5540,158,360,0,Semiurban,N
LP000009,Male,Yes,2,Graduate,No,4006,1526,5532,168,360,1,Urban,Y
LP000010,Male,Yes,1,Graduate,No,12841,10968,23809,349,360,1,Semiurban,N
LP000011,Male,Yes,2,Graduate,No,3200,700,3900,70,360,1,Urban,Y
LP000012,Male,Yes,2,Graduate,,2500,1840,4340,109,360,1,Urban,Y
LP000013,Male,Yes,2,Graduate,No,3073,8106,11179,200,360,1,Urban,Y
LP000014,Male,No,0,Graduate,No,1853,2840,4693,114,360,1,Rural,N
LP000015,Male,Yes,2,Graduate,No,1299,1086,2385,17,120,1,Urban,Y
LP000016,Male,No,0,Graduate,No,4950,0,4950,125,360,1,Urban,Y
LP000017,Male,No,1,Not Graduate,No,3596,0,3596,100,240,,Urban,Y
LP000018,Female,No,0,Graduate,No,3510,0,3510,76,360,0,Urban,N
LP000019,Male,Yes,0,NotGraduate,No,4887,0,4887,133,360,1,Rural,N
LP000020,Male,Yes,0,Graduate,,2600,3500,6100,115,,1,Urban,Y
LP000021,Male,Yes,0,NotGraduate,No,7660,0,7660,104,360,0,Urban,N
LP000022,Male,Yes,1,Graduate,No,5955,5625,11580,315,360,1,Urban,Y
LP000023,Male,Yes,0,NotGraduate,No,2600,1911,4511,116,360,0,Semiurban,N
LP000024,,Yes,2,NotGraduate,No,3365,1917,5282,112,360,0,Rural,N
LP000025,Male,Yes,1,Graduate,,3717,2925,6642,151,360,,Semiurban,N
LP000026,Male,Yes,0,Graduate,Yes,9560,0,9560,191,360,1,Semiurban,Y
LP000027,Male,Yes,0,Graduate,No,2799,2253,5052,122,360,1,Semiurban,Y
LP000028,Male,Yes,2,NotGraduate,No,4226,1040,5266,110,360,1,Urban,Y
LP000029,Male,No,0,NotGraduate,No,1442,0,1442,35,360,1,Urban,N
LP000030,Female,No,2,Graduate,,3750,2083,5833,120,360,1,Semiurban,Y
LP000031,Male,Yes,1,Graduate,,4166,3369,7535,201,360,,Urban,N
LP000032,Male,No,0,Graduate,No,3167,0,3167,74,360,1,Urban,N
LP000033,Male,No,1,Graduate,Yes,4692,0,4692,106,360,1,Rural,N
LP000034,Male,Yes,0,Graduate,No,3500,1667,5167,114,360,1,Semiurban,Y
LP000035,Male,No,3,Graduate,No,12500,3000,15500,320,360,1,Rural,N
LP000036,Male,Yes,0,Graduate,No,2275,2067,4342,,360,1,Urban,Y
LP000037,Male,Yes,0,Graduate,No,1828,1330,3158,100,,0,Urban,N
LP000038,Female,Yes,0,Graduate,No,3667,1459,5126,144,360,1,Semiurban,Y
LP000039,Male,No,0,Graduate,No,4166,7210,11376,184,360,1,Urban,Y
LP000040,Male,No,0,NotGraduate,No,3748,1668,5416,110,360,1,Semiurban,Y
LP000041,Male,No,0,Graduate,No,3600,0,3600,80,360,1,Urban,N
LP000042,Male,No,0,Graduate,No,1800,1213,3013,47,360,1,Urban,Y
LP000043,Male,Yes,0,Graduate,No,2400,0,2400,75,360,,Urban,Y
LP000044,Male,Yes,0,Graduate,No,3941,2336,6277,134,360,1,Semiurban,Y
LP000045,Male,Yes,0,NotGraduate,Yes,4695,0,4695,96,,1,Urban,Y
LP000046,Female,No,0,Graduate,No,3410,0,3410,88,,1,Urban,Y
LP000047,Male,Yes,1,Graduate,No,5649,0,5649,44,360,1,Urban,Y
LP000048,Male,Yes,0,Graduate,No,5821,0,5821,144,360,1,Urban,Y
LP000049,Female,Yes,0,Graduate,No,2645,3440,6085,120,360,0,Urban,N
LP000050,Female,No,0,Graduate,No,4000,2275,6275,144,360,1,Semiurban,Y
LP000051,Female,Yes,0,NotGraduate,No,1928,1644,3572,100,360,1,Semiurban,Y
LP000052,Female,No,0,Graduate,No,3086,0,3086,120,360,1,Semiurban,Y
LP000053,Female,No,0,Graduate,No,4230,0,4230,112,360,1,Semiurban,N
LP000054,Male,Yes,2,Graduate,No,4616,0,4616,134,360,1,Urban,N
